"V1","V2"
599,368
645,290
69.3464416000528,389.391599386318
368,359
1235,613
1619,338
1362,632
619,442
1616,282
285.013180978621,643.452606327625
158.001248604948,475.455545619156
237.943421726016,521.835989249229
1639,715
700,779
1526,697
773,401
683,591
524,615
765,809
1094,107
166.005713757864,310.287715561929
1292,515
122,393
164,421
704.216714502922,201.88915774409
815,651
1563,583
300.90105346364,811.40545933419
592.711247769433,61.1138595723457
1278,82
1480,801
1291,577
1453,955
829,83
347.948575776432,199.761966350576
893,159
561,754
849,199
1331,475
231.633625155284,311.300522399561
603,834
1388,451
293,122
1476,725
703,0
1110,821
1334,346
686,411
1624,571
1234,557
1064,705
46.2954895667877,544.570012881869
189,841
849,958
805,556
1461,521
104.911299181773,294.743945257062
1536,347
1612,894
646,534
1141,0
1494,393
1533,513
106,700
1686,568
1707,773
358,141
1024,22
1365,897
882,745
485,307
501,422
645.569186803707,213.188188942406
461,582
373,257
722,932
1228,455
855,886
1583,745
1527,211
813,763
206.792037276264,581.672543554046
1526,290
1332,709
650,485
417.661023720468,82.8678944102528
398,728
331,946
539,446
895,337
1596,796
201,777
358,667
187,533
670,117
760,295
269,592
279.741337338881,200.602925330063
420,202
245.944535333166,792.852003916073
367,427
1269,727
546,389
950,636
553.713207322424,274.01954030399
1071,876
706,341
907,528
84.3639472891176,625.795240985966
1660,230
898.35058791356,90.0657719220111
590.170680039133,123.903476369916
1563,248
16,437
425,519
1719,650
957,298
1263,921
124.29795512484,257.173335472604
899,945
1369,801
1315,847
1112,539
468.784492213967,67.7928952238017
1150,769
1362,552
1492,867
1397,688
910,898
951,117
222,476
69.6113355495016,327.015874329806
1548,839
364.447182660303,819.498567239381
815,337
417,936
710,647
1182,209
479.011397603666,156.057355171295
586.742270867377,198.434224304091
404,468
1037,540
34.4199165196266,488.332539789436
726,472
1679,940
1579,436
1477,591
1713,710
547,233
1427,902
623,766
1385,516
1252,779
1115,437
1454,674
524,800
1648,462
287.758113421923,294.362353328944
1582,381
1608,203
1181,712
179.423253569889,676.662890126047
222.862090508042,649.949259965981
109,575
226.180597787469,178.832622752387
128,792
460,268
922,41
1416,753
899,266
646,922
840,822
749,861
530.643568427405,134.339858674718
1503,449
1112,666
1561,639
1751,564
244.493034513501,229.485165704093
759,44
1168,924
1333,287
1463,336
494,201
1458,181
718,552
300,358
620,613
1019,647
312,737
1034,462
988,589
523,521
1152,476
800,472
824.885349843957,267.34191469697
296,468
1242,394
1225,820
1203,53
1151,350
472,489
920,212
418,325
993,67
782,919
1057,386
1004,220
856,511
1269,206
1590,487
356,318
552,12
266,421
992,908
348,604
1580,144
1188,511
440,420
1238,170
332,888
835,9
381.294201014988,553.772939337905
1448,457
647,46
499,360
1205,873
469,659
1036,286
325,557
1083,607
1185,411
1421,290
1235,113
1088,42
1413,390
1294,654
653,362
1307,417
1232,680
399,617
1165,621
1061,188
725.234525919663,89.1235949133085
