"","V1","V2"
"1",599,368
"2",645,290
"3",69.3464416000528,389.391599386318
"4",368,359
"5",1235,613
"6",1619,338
"7",1362,632
"8",619,442
"9",1616,282
"10",285.013180978621,643.452606327625
"11",158.001248604948,475.455545619156
"12",237.943421726016,521.835989249229
"13",1639,715
"14",700,779
"15",1526,697
"16",773,401
"17",683,591
"18",524,615
"19",765,809
"20",1094,107
"21",166.005713757864,310.287715561929
"22",1292,515
"23",122,393
"24",164,421
"25",704.216714502922,201.88915774409
"26",815,651
"27",1563,583
"28",300.90105346364,811.40545933419
"29",592.711247769433,61.1138595723457
"30",1278,82
"31",1480,801
"32",1291,577
"33",1453,955
"34",829,83
"35",347.948575776432,199.761966350576
"36",893,159
"37",561,754
"38",849,199
"39",1331,475
"40",231.633625155284,311.300522399561
"41",603,834
"42",1388,451
"43",293,122
"44",1476,725
"45",703,0
"46",1110,821
"47",1334,346
"48",686,411
"49",1624,571
"50",1234,557
"51",1064,705
"52",46.2954895667877,544.570012881869
"53",189,841
"54",849,958
"55",805,556
"56",1461,521
"57",104.911299181773,294.743945257062
"58",1536,347
"59",1612,894
"60",646,534
"61",1141,0
"62",1494,393
"63",1533,513
"64",106,700
"65",1686,568
"66",1707,773
"67",358,141
"68",1024,22
"69",1365,897
"70",882,745
"71",485,307
"72",501,422
"73",645.569186803707,213.188188942406
"74",461,582
"75",373,257
"76",722,932
"77",1228,455
"78",855,886
"79",1583,745
"80",1527,211
"81",813,763
"82",206.792037276264,581.672543554046
"83",1526,290
"84",1332,709
"85",650,485
"86",417.661023720468,82.8678944102528
"87",398,728
"88",331,946
"89",539,446
"90",895,337
"91",1596,796
"92",201,777
"93",358,667
"94",187,533
"95",670,117
"96",760,295
"97",269,592
"98",279.741337338881,200.602925330063
"99",420,202
"100",245.944535333166,792.852003916073
"101",367,427
"102",1269,727
"103",546,389
"104",950,636
"105",553.713207322424,274.01954030399
"106",1071,876
"107",706,341
"108",907,528
"109",84.3639472891176,625.795240985966
"110",1660,230
"111",898.35058791356,90.0657719220111
"112",590.170680039133,123.903476369916
"113",1563,248
"114",16,437
"115",425,519
"116",1719,650
"117",957,298
"118",1263,921
"119",124.29795512484,257.173335472604
"120",899,945
"121",1369,801
"122",1315,847
"123",1112,539
"124",468.784492213967,67.7928952238017
"125",1150,769
"126",1362,552
"127",1492,867
"128",1397,688
"129",910,898
"130",951,117
"131",222,476
"132",69.6113355495016,327.015874329806
"133",1548,839
"134",364.447182660303,819.498567239381
"135",815,337
"136",417,936
"137",710,647
"138",1182,209
"139",479.011397603666,156.057355171295
"140",586.742270867377,198.434224304091
"141",404,468
"142",1037,540
"143",34.4199165196266,488.332539789436
"144",726,472
"145",1679,940
"146",1579,436
"147",1477,591
"148",1713,710
"149",547,233
"150",1427,902
"151",623,766
"152",1385,516
"153",1252,779
"154",1115,437
"155",1454,674
"156",524,800
"157",1648,462
"158",287.758113421923,294.362353328944
"159",1582,381
"160",1608,203
"161",1181,712
"162",179.423253569889,676.662890126047
"163",222.862090508042,649.949259965981
"164",109,575
"165",226.180597787469,178.832622752387
"166",128,792
"167",460,268
"168",922,41
"169",1416,753
"170",899,266
"171",646,922
"172",840,822
"173",749,861
"174",530.643568427405,134.339858674718
"175",1503,449
"176",1112,666
"177",1561,639
"178",1751,564
"179",244.493034513501,229.485165704093
"180",759,44
"181",1168,924
"182",1333,287
"183",1463,336
"184",494,201
"185",1458,181
"186",718,552
"187",300,358
"188",620,613
"189",1019,647
"190",312,737
"191",1034,462
"192",988,589
"193",523,521
"194",1152,476
"195",800,472
"196",824.885349843957,267.34191469697
"197",296,468
"198",1242,394
"199",1225,820
"200",1203,53
"201",1151,350
"202",472,489
"203",920,212
"204",418,325
"205",993,67
"206",782,919
"207",1057,386
"208",1004,220
"209",856,511
"210",1269,206
"211",1590,487
"212",356,318
"213",552,12
"214",266,421
"215",992,908
"216",348,604
"217",1580,144
"218",1188,511
"219",440,420
"220",1238,170
"221",332,888
"222",835,9
"223",381.294201014988,553.772939337905
"224",1448,457
"225",647,46
"226",499,360
"227",1205,873
"228",469,659
"229",1036,286
"230",325,557
"231",1083,607
"232",1185,411
"233",1421,290
"234",1235,113
"235",1088,42
"236",1413,390
"237",1294,654
"238",653,362
"239",1307,417
"240",1232,680
"241",399,617
"242",1165,621
"243",1061,188
"244",725.234525919663,89.1235949133085
